term,term_count,term_ratio,doc_count,doc_ratio,sample_size
trump,2697,0.5394,2661,0.5322,5000
haley,2583,0.5166,2566,0.5132,5000
nikki,1922,0.3844,1917,0.3834,5000
primary,591,0.118,590,0.118,5000
new,560,0.112,552,0.11,5000
gop,472,0.0944,471,0.0942,5000
donald,459,0.0918,459,0.0918,5000
biden,432,0.0864,430,0.086,5000
hampshire,421,0.0842,421,0.0842,5000
republican,392,0.0784,389,0.0778,5000
desantis,364,0.0728,362,0.0724,5000
2024,325,0.065,320,0.064,5000
presidential,321,0.0642,321,0.0642,5000
campaign,305,0.061,300,0.06,5000
iowa,304,0.0608,299,0.0598,5000
south,257,0.0514,256,0.0512,5000
carolina,255,0.051,254,0.0508,5000
race,239,0.0478,238,0.0476,5000
voters,210,0.042,207,0.0414,5000
president,208,0.0416,208,0.0416,5000
election,205,0.041,204,0.0408,5000
wins,179,0.0358,177,0.0354,5000
tuesday,173,0.0346,173,0.0346,5000
super,172,0.0344,171,0.0342,5000
win,167,0.0334,162,0.0324,5000
ron,160,0.032,160,0.032,5000
vote,141,0.0282,138,0.0276,5000
debate,141,0.0282,139,0.0278,5000
former,134,0.0268,133,0.0266,5000
news,131,0.0262,128,0.0256,5000
harris,126,0.0252,125,0.025,5000
live,119,0.0238,119,0.0238,5000
republicans,119,0.0238,119,0.0238,5000
caucus,116,0.0232,115,0.023,5000
caucuses,115,0.023,115,0.023,5000
results,99,0.0198,98,0.0196,5000
watch,98,0.0196,97,0.0194,5000
nevada,98,0.0196,98,0.0196,5000
candidate,96,0.0192,96,0.0192,5000
ex,92,0.0184,90,0.018,5000
calls,91,0.0182,90,0.018,5000
rnc,90,0.018,90,0.018,5000
victory,88,0.0176,87,0.0174,5000
joe,83,0.0166,82,0.0164,5000
cnn,80,0.016,80,0.016,5000
endorses,80,0.016,80,0.016,5000
poll,79,0.0158,79,0.0158,5000
support,78,0.0156,78,0.0156,5000
day,78,0.0156,78,0.0156,5000
video,77,0.0154,77,0.0154,5000
back,76,0.0152,75,0.015,5000
supporters,73,0.0146,73,0.0146,5000
christie,71,0.0142,70,0.014,5000
rally,70,0.014,70,0.014,5000
convention,66,0.0132,66,0.0132,5000
party,66,0.0132,63,0.0126,5000
house,65,0.013,64,0.0128,5000
chris,65,0.013,65,0.013,5000
nomination,65,0.013,65,0.013,5000
attacks,64,0.0128,64,0.0128,5000
rival,63,0.0126,63,0.0126,5000
fox,62,0.0124,60,0.012,5000
bid,62,0.0124,62,0.0124,5000
face,61,0.0122,61,0.0122,5000
drop,60,0.012,60,0.012,5000
votes,58,0.0116,58,0.0116,5000
claims,58,0.0116,58,0.0116,5000
vp,58,0.0116,58,0.0116,5000
kamala,58,0.0116,58,0.0116,5000
candidates,58,0.0116,58,0.0116,5000
war,57,0.0114,57,0.0114,5000
democrats,56,0.0112,56,0.0112,5000
drops,55,0.011,54,0.0108,5000
pelosi,55,0.011,55,0.011,5000
report,55,0.011,55,0.011,5000
nominee,55,0.011,55,0.011,5000
women,54,0.0108,54,0.0108,5000
america,54,0.0108,52,0.0104,5000
ends,53,0.0106,53,0.0106,5000
speech,53,0.0106,53,0.0106,5000
stay,53,0.0106,53,0.0106,5000
endorse,52,0.0104,51,0.0102,5000
big,52,0.0104,52,0.0104,5000
white,51,0.0102,51,0.0102,5000
running,50,0.01,49,0.0098,5000
governor,50,0.01,50,0.01,5000
polls,50,0.01,49,0.0098,5000
michigan,49,0.0098,49,0.0098,5000
endorsement,48,0.0096,48,0.0096,5000
lead,47,0.0094,47,0.0094,5000
town,47,0.0094,47,0.0094,5000
host,46,0.0092,46,0.0092,5000
maga,46,0.0092,46,0.0092,5000
time,45,0.009,45,0.009,5000
down,45,0.009,44,0.0088,5000
slams,45,0.009,45,0.009,5000
loss,45,0.009,45,0.009,5000
gov,44,0.0088,43,0.0086,5000
voting,44,0.0088,44,0.0088,5000
jan,43,0.0086,43,0.0086,5000
