source,count
rawstory.com,11860
newsweek.com,11571
yahoo.com,10126
dailymail.co.uk,10008
abcnews.go.com,8607
cbsnews.com,8155
independent.co.uk,7428
politicalwire.com,6461
nypost.com,6071
breitbart.com,6009
huffpost.com,5430
theguardian.com,5389
newsday.com,5154
nytimes.com,4898
benzinga.com,4609
foxnews.com,4396
alternet.org,4371
dailycaller.com,4366
dailykos.com,4207
redstate.com,4089
inquirer.com,3826
forbes.com,3484
thegatewaypundit.com,3365
inquisitr.com,3311
seattletimes.com,3254
cnn.com,3078
startribune.com,3039
thedailybeast.com,3026
nbcnews.com,2969
ajc.com,2808
ibtimes.com,2572
latimes.com,2564
realclearpolitics.com,2545
baltimoresun.com,2501
businessinsider.com,2456
pbs.org,2360
sun-sentinel.com,2360
apnews.com,2348
salon.com,2275
bbc.com,2274
npr.org,2185
townhall.com,2146
pjmedia.com,2081
usatoday.com,1992
newsbusters.org,1961
mercurynews.com,1720
chicagotribune.com,1658
twincities.com,1627
arkansasonline.com,1584
time.com,1525
theblaze.com,1523
thewrap.com,1497
hotair.com,1476
the-sun.com,1407
sandiegouniontribune.com,1379
ocregister.com,1367
rollingstone.com,1365
fortune.com,1335
radaronline.com,1322
cleveland.com,1287
vanityfair.com,1228
centralmaine.com,1180
staradvertiser.com,1132
upi.com,1108
theatlantic.com,1073
theconversation.com,1031
dailysignal.com,1030
wsj.com,971
marketwatch.com,887
patriotpost.us,887
politico.com,871
theweek.com,864
slate.com,843
courant.com,824
washingtonpost.com,798
thehill.com,794
thenation.com,788
newsone.com,785
oann.com,781
orlandosentinel.com,760
tmz.com,736
spectator.org,721
bloomberg.com,706
denverpost.com,696
rollcall.com,695
hollywoodreporter.com,689
dailydot.com,643
motherjones.com,625
mlive.com,612
talkingpointsmemo.com,607
nationalmemo.com,594
variety.com,586
syracuse.com,553
vox.com,527
pilotonline.com,511
newyorker.com,504
elnuevodia.com,487
oregonlive.com,462
qz.com,459
reuters.com,430
